location,Базель,Базель,Базель,Базель
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Базель Temperature [2 m elevation corrected],Базель Relative Humidity [2 m],Базель Wind Speed [10 m],Базель Wind Direction [10 m]
20220223T1500,12.520529,59.0,8.854829,116.56505
20220223T1600,12.650529,55.0,9.605998,102.99461
20220223T1700,12.450529,54.0,9.693296,111.80141
20220223T1800,11.820529,57.0,9.83268,113.7495
20220223T1900,10.470529,64.0,10.163227,112.9321
20220223T2000,8.990529,71.0,8.14587,135.0
20220223T2100,8.180529,74.0,7.42159,140.90614
20220223T2200,8.090529,75.0,7.10031,149.53445
20220223T2300,7.6105285,75.0,9.028754,156.50143
20220224T0000,6.8005285,76.0,9.3669195,177.79741
20220224T0100,6.5905285,77.0,8.707238,187.12502
20220224T0200,5.2205286,81.0,9.726664,128.991
20220224T0300,4.9405284,80.0,11.885453,125.13419
20220224T0400,3.6205285,84.0,11.019764,128.36748
20220224T0500,3.3605285,87.0,9.693296,121.32869
20220224T0600,2.7605286,92.0,9.83268,113.7495
20220224T0700,2.2005286,95.0,11.298495,112.47943
20220224T0800,3.4705286,86.0,10.636766,113.96249
20220224T0900,5.5505285,79.0,9.107359,108.434944
20220224T1000,8.580529,66.0,4.2136917,160.01689
20220224T1100,12.5505295,48.0,9.1641035,225.0
20220224T1200,13.990529,39.0,29.142216,242.80186
20220224T1300,13.570529,48.0,34.17157,253.47421
20220224T1400,12.820529,53.0,28.551426,256.13898
20220224T1500,13.460529,50.0,30.563978,254.98164
20220224T1600,13.260529,50.0,28.001427,261.8699
20220224T1700,12.970529,53.0,26.042212,264.44702
20220224T1800,11.700529,58.0,20.188908,266.93353
20220224T1900,11.060529,59.0,19.839235,258.48618
20220224T2000,10.210529,61.0,22.461807,248.36911
20220224T2100,10.240529,61.0,26.476522,258.23172
20220224T2200,8.990529,75.0,29.519999,270.0
20220224T2300,5.3605285,67.0,22.159746,316.97495
20220225T0000,5.0205283,72.0,17.873556,279.27258
20220225T0100,4.4505286,82.0,20.617662,282.09476
20220225T0200,4.5005283,76.0,13.698934,266.9872
20220225T0300,3.9905286,79.0,13.009903,284.42078
20220225T0400,3.6805286,80.0,14.05845,283.32452
20220225T0500,2.8605285,84.0,9.779817,263.65982
20220225T0600,2.2605286,86.0,9.605998,257.00537
20220225T0700,1.5605286,90.0,10.182337,261.8699
20220225T0800,1.7505287,88.0,9.605998,257.00537
20220225T0900,2.9705286,82.0,14.044615,271.4688
20220225T1000,4.2505283,76.0,15.137133,272.72632
20220225T1100,5.4905286,59.0,18.129137,276.84277
20220225T1200,6.5105286,52.0,19.70815,279.46234
20220225T1300,7.3605285,47.0,22.101183,282.22513
20220225T1400,7.3705287,45.0,20.780453,284.03625
20220225T1500,7.4805284,48.0,21.398056,282.63336
20220225T1600,7.6505284,50.0,20.870687,284.9951
20220225T1700,7.3805285,51.0,19.05281,292.2035
20220225T1800,6.7505283,54.0,15.463246,294.77515
20220225T1900,6.0105286,59.0,12.979984,289.44003
20220225T2000,5.8605285,60.0,11.435313,298.1786
20220225T2100,5.7705283,60.0,9.693296,328.67133
20220225T2200,5.1105285,64.0,8.714677,321.70984
20220225T2300,3.8805285,71.0,8.4963045,306.38437
20220226T0000,3.3105285,72.0,7.42159,284.03625
20220226T0100,2.8905284,73.0,7.10031,300.46555
20220226T0200,1.9305286,78.0,2.8116899,230.19443
20220226T0300,1.4205287,82.0,2.5455842,261.8699
20220226T0400,1.2405287,85.0,1.609969,296.56506
20220226T0500,0.8805287,90.0,0.5091169,315.0
20220226T0600,0.9505287,92.0,1.08,89.99999
20220226T0700,0.50052863,95.0,4.0249224,100.30484
20220226T0800,0.6405287,94.0,5.1544156,102.09476
20220226T0900,1.4705287,88.0,6.87779,96.009
20220226T1000,3.0005286,77.0,8.350138,97.431404
20220226T1100,4.9305286,67.0,13.004921,94.76365
20220226T1200,6.0305285,58.0,15.484185,91.332214
20220226T1300,6.4205284,53.0,14.618837,80.07375
20220226T1400,7.2005286,48.0,12.9249525,77.12499
20220226T1500,7.4105287,48.0,10.883676,55.784294
20220226T1600,7.6805286,45.0,9.826088,61.557068
20220226T1700,7.5805287,43.0,12.245294,88.315315
20220226T1800,6.3705287,48.0,12.661564,104.82648
20220226T1900,4.9505286,54.0,13.5515,106.99082
20220226T2000,3.5305285,59.0,13.896187,106.55707
20220226T2100,2.4505286,62.0,14.118243,109.35899
20220226T2200,1.8905287,61.0,15.281989,105.01836
20220226T2300,0.98052865,63.0,11.874544,104.03624
